                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45                          46 
             version_number                model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20            h1_boundary_mass           he4_boundary_mass           c12_boundary_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu           h1_boundary_limit          he4_boundary_limit          c12_boundary_limit                   burn_min1                   burn_min2 
                       5118                          70                         914     1.0000000000000000E+001     2.0000000000000000E-002     3.7010346755125327E+006     8.7834784371377667E+004     2.4582499719814885E+004     6.1324752233666031E+003     4.3233923702871513E+000    -5.3364552851266822E+000     6.2682712815661179E-001     1.8411779028966350E-007     3.5323481414134000E-001     9.7247936883673153E-005     9.2480245895268445E-003     4.3830354245419983E-003     2.0543529272164214E-003     9.9971259721911938E+000    -8.4507247171724991E-010     6.7726784675125549E+000     1.6114081427292580E-004     3.0234667589271798E+000     1.7653431538741899E-002     4.3043595256107528E-002     7.8044765093260318E-002     2.0537625004721692E-002     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9971259708381535E+000     4.3134504241645528E+000     9.9971259574671958E+000     4.2925938658165430E+000     2.8466427482027902E+004     8.8484950890594555E+004     1.6301942703492859E+007     6.1432229530832719E+003     6.1432229530832674E+003     2.3491430836109056E-031     4.2399483119837049E+002     1.0000000000000000E-004     1.0000000000000000E-004     1.0000000000000000E-004     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45                          46                          47                          48                          49                          50                          51                          52                          53                          54                          55                          56                          57                          58                          59                          60                          61                          62                          63                          64                          65                          66                          67                          68                          69                          70                          71                          72                          73                          74                          75                          76                          77                          78                          79                          80                          81                          82                          83                          84                          85                          86                          87                          88                          89                          90                          91 
                       zone                        logT                      logRho                        logP                        logR                  luminosity                    eps_grav         signed_log_eps_grav                  net_energy            signed_log_power                    velocity                     entropy                 mixing_type                      csound                v_div_csound                         eta                          mu                       logdq                    dq_ratio                           q                       log_q                      radius                        rmid                 temperature                         tau                      logtau                    pressure             pgas_div_ptotal                     logPgas                       grada                      free_e           x_mass_fraction_H          y_mass_fraction_He      z_mass_fraction_metals                        abar                          ye                 log_opacity                     eps_nuc             d_lnepsnuc_dlnd             d_lnepsnuc_dlnT                 non_nuc_neu           mlt_mixing_length             mlt_mixing_type             gradT_sub_grada             gradT_div_grada               log_mlt_Gamma                   log_D_mix                log_conv_vel         conv_vel_div_csound               log_mlt_D_mix       pressure_scale_height                       gradT                       gradr                        mass                       logxq                       logxm                           x                           y                           z                          h1                         he3                         he4                         c12                         n14                         o16                         o18                        ne20                        ne22                        mg24                          pp                         cno                    tri_alfa                      burn_c                      burn_n                      burn_o                     burn_ne                     burn_na                     burn_mg                     burn_si                      burn_s                     burn_ar                     burn_ca                     burn_ti                     burn_cr                     burn_fe                     c12_c12                     c12_o16                     o16_o16                       pnhe4                       photo                       other 
                          1     4.3915062304871970E+000    -8.8930699317571982E+000     3.6942566554895797E+000     6.3582465179962533E-001     6.1324752233666031E+003    -6.5744384366152726E+000    -8.1785866297248089E-001    -8.1785866297248089E-001     3.7372170554438554E+001     9.5589931324525836E-003     4.0295725488218011E+001                           0     2.4156534729422983E+006     3.9571044603552355E-009    -1.7266973018646240E+001     6.5009881556034121E-001    -1.2301029995663260E+001     1.0000000000000000E+000     1.0000000000000000E+000     0.0000000000000000E+000     4.3233923702871513E+000     4.3233432886501300E+000     2.4632371761412149E+004     6.6666666666666663E-001    -1.7609125905568127E-001     4.9460289665464243E+003     8.1228455988687409E-001     3.6039648536215472E+000     2.9491126164793968E-001     7.6826499120631320E-001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     1.2966438850003061E+000     8.4999760145220582E-001     3.9643020261931783E-001     5.2093535206328114E-036     5.2096245705780246E-036     1.2063431470510765E-035     0.0000000000000000E+000     5.2752296217400384E+008                           0    -1.3857772049144620E-001     5.3010366671965869E-001    -9.9000000000000000E+001    -9.9000000000000000E+001    -9.9000000000000000E+001     0.0000000000000000E+000    -9.9000000000000000E+001     3.7897853542774493E-003     1.5633354115649348E-001     1.5633354115649348E-001     9.9971259721911938E+000    -9.9000000000000000E+001    -9.9000000000000000E+001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     6.9999999999999951E-001     2.9797635251697368E-005     2.7997020236474879E-001     3.4420592100920032E-003     1.0085800420500082E-003     9.3397946488085869E-003     2.2773642444733266E-005     2.0543529272163213E-003     1.3419159551595616E-004     3.9982479338723960E-003     5.2093535206328114E-036     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000 
                          2     4.3943733867069126E+000    -8.8763918466221288E+000     3.7123037268041164E+000     6.3581479085419601E-001     6.1324752233666204E+003    -6.5572083939686285E+000    -8.1671898615430960E-001    -8.1671898615430960E-001     3.7372170554438554E+001     9.5563115077057885E-003     4.0227542943631519E+001                           6     2.4204854995767050E+006     3.9480969868966364E-009    -1.7239014863967896E+001     6.5009167045354876E-001    -1.1943880845034574E+001     4.3939068869352260E-001     9.9999999999949996E-001    -2.1716654546785455E-013     4.3232942058986765E+000     4.3231867041087568E+000     2.4795529486956613E+004     6.8843930185872393E-001    -1.6213434448457817E-001     5.1558909927235545E+003     8.1510654004788763E-001     3.6235181045390368E+000     2.9561293870210648E-001     7.6787538299144742E-001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     1.2966438850003061E+000     8.4999760145220582E-001     4.0299419884030258E-001     5.4133086774672628E-036     5.4135958000340076E-036     1.2618766642207416E-035     0.0000000000000000E+000     5.2802105694114441E+008                           0    -1.3731110261221055E-001     5.3473650105485471E-001    -9.9000000000000000E+001     0.0000000000000000E+000    -8.2438741357683387E+000     2.3562609129639705E-015    -9.9000000000000000E+001     3.8015777524444618E-003     1.5781435408818614E-001     1.5781435408818614E-001     9.9971259721861951E+000    -1.2301029995663260E+001    -1.1301154831044956E+001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     6.9999999999999951E-001     2.9797635251697361E-005     2.7997020236474879E-001     3.4420592100920032E-003     1.0085800420500082E-003     9.3397946488085869E-003     2.2773642444733266E-005     2.0543529272163213E-003     1.3419159551595616E-004     3.9982479338723960E-003     5.4133086774672628E-036     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000 
                          3     4.3974396753774005E+000    -8.8592447650711943E+000     3.7310626762763874E+000     6.3579319169672688E-001     6.1324752233666577E+003    -6.5434178311878419E+000    -8.1580465314040540E-001    -8.1580465314040540E-001     3.7372170554438554E+001     9.5504381668213185E-003     4.0158317237722109E+001                           6     2.4259869995729486E+006     3.9367227312028062E-009    -1.7209898710250854E+001     6.5008420497179065E-001    -1.2195220538239916E+001     1.7837734404901944E+000     9.9999999999836209E-001    -7.1133615570361477E-013     4.3230791969722349E+000     4.3230212584865102E+000     2.4971215084514428E+004     7.3874945070224307E-001    -1.3150282903058461E-001     5.3834746984961621E+003     8.1785059590233455E-001     3.6437366507283642E+000     2.9630840197205538E-001     7.6808640965454678E-001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     1.2966438850003061E+000     8.4999760145220582E-001     4.0960466910559862E-001     5.6313275899425810E-036     5.6316322313047604E-036     1.3219989935568969E-035     0.0000000000000000E+000     5.3039024300701886E+008                           0    -1.3174025895265262E-001     5.5501961324619653E-001    -9.9000000000000000E+001     9.6432746655328696E-017    -8.2458298146283759E+000     2.3403548769820092E-015    -9.9000000000000000E+001     3.8153338617839708E-003     1.6431831547962050E-001     1.6431831547962050E-001     9.9971259721748194E+000    -1.1785702156091258E+001    -1.0785826991472955E+001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     6.9999999999999951E-001     2.9797635251697365E-005     2.7997020236474879E-001     3.4420592100920032E-003     1.0085800420500082E-003     9.3397946488085869E-003     2.2773642444733266E-005     2.0543529272163213E-003     1.3419159551595616E-004     3.9982479338723960E-003     5.6313275899425816E-036     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000 
                          4     4.3996196311014275E+000    -8.8474878688228848E+000     3.7440567471552972E+000     6.3578155043919815E-001     6.1324752233666804E+003    -6.5363811279762976E+000    -8.1533736741530616E-001    -8.1533736741530616E-001     3.7372170554438561E+001     9.5472728624830909E-003     4.0111726099226068E+001                           6     2.4301025293551683E+006     3.9287531069795952E-009    -1.7189816474914551E+001     6.5007840842008624E-001    -1.2195220538239917E+001     1.0000000000000036E+000     9.9999999999772415E-001    -9.8838743684491630E-013     4.3229633184477372E+000     4.3229069243865030E+000     2.5096874047354864E+004     7.6738856747465656E-001    -1.1498467519198378E-001     5.5469818794690273E+003     8.1963448473863654E-001     3.6576769694767424E+000     2.9676686227321619E-001     7.6850404773554370E-001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     1.2966438850003061E+000     8.4999760145220582E-001     4.1404063536436952E-001     5.7858654346618649E-036     5.7861827016263122E-036     1.3651128845741764E-035     0.0000000000000000E+000     5.3181847468643552E+008                           0    -1.2877208843758334E-001     5.6574790350949966E-001    -9.9000000000000000E+001     0.0000000000000000E+000    -8.2470050394680925E+000     2.3300774831786155E-015    -9.9000000000000000E+001     3.8260129804852864E-003     1.6776554368505245E-001     1.6776554368505245E-001     9.9971259721684422E+000    -1.1642850849370593E+001    -1.0642975684752290E+001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     6.9999999999999951E-001     2.9797635251697365E-005     2.7997020236474879E-001     3.4420592100920036E-003     1.0085800420500082E-003     9.3397946488085869E-003     2.2773642444733270E-005     2.0543529272163213E-003     1.3419159551595616E-004     3.9982479338723960E-003     5.7858654346618642E-036     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000 
                          5     4.4017780443042156E+000    -8.8361582064560977E+000     3.7566765826321422E+000     6.3577021919864696E-001     6.1324752233667023E+003    -6.5312900628701032E+000    -8.1499897175747182E-001    -8.1499897175747182E-001     3.7372170554438561E+001     9.5441920140271110E-003     4.0067720450750095E+001                           6     2.4343229878463307E+006     3.9206761229621998E-009    -1.7170471429824829E+001     6.5007238835096393E-001    -1.2195220538239919E+001     1.0000000000000024E+000     9.9999999999708622E-001    -1.2654387179863945E-012     4.3228505288538779E+000     4.3227955841007590E+000     2.5221914219305476E+004     7.9632323916784142E-001    -9.8910610036536922E-002     5.7105321723505112E+003     8.2128239980691164E-001     3.6711690985695982E+000     2.9719393327832216E-001     7.6902490849910865E-001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     1.2966438850003061E+000     8.4999760145220582E-001     4.1824226405212911E-001     5.9387988598142333E-036     5.9391287884203788E-036     1.4081769031478972E-035     0.0000000000000000E+000     5.3334043579286200E+008                           0    -1.2592036627265593E-001     5.7599771831496327E-001    -9.9000000000000000E+001    -1.9286549331065747E-016    -8.2482529465555299E+000     2.3193636861009765E-015    -9.9000000000000000E+001     3.8371957055412247E-003     1.7106003150311325E-001     1.7106003150311325E-001     9.9971259721620651E+000    -1.1535537524624404E+001    -1.0535662360006102E+001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     6.9999999999999951E-001     2.9797635251697365E-005     2.7997020236474879E-001     3.4420592100920027E-003     1.0085800420500082E-003     9.3397946488085869E-003     2.2773642444733266E-005     2.0543529272163213E-003     1.3419159551595616E-004     3.9982479338723960E-003     5.9387988598142340E-036     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000 
                          6     4.4039144593621806E+000    -8.8252273147155940E+000     3.7689390534500400E+000     6.3575917888645339E-001     6.1324752233667241E+003    -6.5278845607901328E+000    -8.1477246574348727E-001    -8.1477246574348727E-001     3.7372170554438561E+001     9.5411904188732535E-003     4.0026139210157389E+001                           6     2.4386196063110163E+006     3.9125374019716592E-009    -1.7151966094970703E+001     6.5006641298532519E-001    -1.2195220538239919E+001     1.0000000000000020E+000     9.9999999999644829E-001    -1.5424899991280497E-012     4.3227406379508713E+000     4.3226870561534154E+000     2.5346293490796190E+004     8.2554070597071993E-001    -8.3261507570646029E-002     5.8740691322093880E+003     8.2280538738923414E-001     3.6842361800626104E+000     2.9759127646684641E-001     7.6955375512770052E-001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     1.2966438850003061E+000     8.4999760145220582E-001     4.2223149966711593E-001     6.0901798679926786E-036     6.0905224913142142E-036     1.4511927028037196E-035     0.0000000000000000E+000     5.3492550158449441E+008                           0    -1.2317480482484272E-001     5.8581752603560511E-001    -9.9000000000000000E+001    -1.9286549331065747E-016    -8.2495510905861646E+000     2.3083669529907380E-015    -9.9000000000000000E+001     3.8487832000672121E-003     1.7421780004774157E-001     1.7421780004774157E-001     9.9971259721556880E+000    -1.1449556655584516E+001    -1.0449681490966213E+001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     6.9999999999999951E-001     2.9797635251697361E-005     2.7997020236474879E-001     3.4420592100920032E-003     1.0085800420500082E-003     9.3397946488085869E-003     2.2773642444733263E-005     2.0543529272163213E-003     1.3419159551595616E-004     3.9982479338723960E-003     6.0901798679926786E-036     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000 
                          7     4.4060285216578832E+000    -8.8146724389411801E+000     3.7808671155503562E+000     6.3574841217254663E-001     6.1324752233667468E+003    -6.5259314173784393E+000    -8.1464250536809779E-001    -8.1464250536809779E-001     3.7372170554438561E+001     9.5382633538745650E-003     3.9987098864315740E+001                           6     2.4429952322220076E+006     3.9043315468115384E-009    -1.7134400129318237E+001     6.5005986392498050E-001    -1.2195220538239919E+001     9.9999999999999745E-001     9.9999999999581035E-001    -1.8195412802698813E-012     4.3226334730275946E+000     4.3225811751809644E+000     2.5469975174467600E+004     8.5502926845103677E-001    -6.8019018711336407E-002     6.0376386280060560E+003     8.2421625988405189E-001     3.6969082934509685E+000     2.9796020314097399E-001     7.6997943803152868E-001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     1.2966438850003061E+000     8.4999760145220582E-001     4.2602481051392666E-001     6.2400144088654579E-036     6.2403697535571338E-036     1.4941512887312494E-035     0.0000000000000000E+000     5.3656723439379036E+008                           0    -1.2053014400281242E-001     5.9523182082535220E-001    -9.9000000000000000E+001     0.0000000000000000E+000    -8.2508913193931868E+000     2.2971325789133191E-015    -9.9000000000000000E+001     3.8607804116639857E-003     1.7724559580109778E-001     1.7724559580109778E-001     9.9971259721493091E+000    -1.1377817356655671E+001    -1.0377942192037366E+001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     6.9999999999999951E-001     2.9797635251697365E-005     2.7997020236474879E-001     3.4420592100920032E-003     1.0085800420500082E-003     9.3397946488085869E-003     2.2773642444733266E-005     2.0543529272163213E-003     1.3419159551595616E-004     3.9982479338723960E-003     6.2400144088654579E-036     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000 
                          8     4.4091617928026210E+000    -8.7994997716824397E+000     3.7981674133878500E+000     6.3573790320112900E-001     6.1324752233667687E+003    -6.5254237027406150E+000    -8.1460871613109198E-001    -8.1460871613109198E-001     3.7372170554438569E+001     9.5354064978583914E-003     3.9933669784805282E+001                           6     2.4496799156772154E+006     3.8925111957830310E-009    -1.7110045671463013E+001     6.5004771947860751E-001    -1.1894190542575936E+001     4.9999999999999872E-001     9.9999999999517242E-001    -2.0965925614118899E-012     4.3225288760688381E+000     4.3224278654462474E+000     2.5654395917297130E+004     8.8477798190289503E-001    -5.3165693517965622E-002     6.2830051166238936E+003     8.2613527123397923E-001     3.7152185778275526E+000     2.9846148565411562E-001     7.7018605056260325E-001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     1.2966438850003061E+000     8.4999760145220582E-001     4.3136706979178568E-001     6.4618836107922121E-036     6.4622580744753849E-036     1.5584802902551762E-035     0.0000000000000000E+000     5.3827949205699170E+008                           0    -1.1798650901888127E-001     6.0424117454968862E-001    -9.9000000000000000E+001     0.0000000000000000E+000    -8.2522833643305855E+000     2.2835330106833094E-015    -9.9000000000000000E+001     3.8795532182977371E-003     1.8014078829313993E-001     1.8014078829313993E-001     9.9971259721429320E+000    -1.1316265418147081E+001    -1.0316390253528779E+001     6.9999999999999951E-001     2.8000000000000047E-001     2.0000000000000018E-002     6.9999999999999951E-001     2.9797635251697365E-005     2.7997020236474879E-001     3.4420592100920032E-003     1.0085800420500082E-003     9.3397946488085869E-003     2.2773642444733266E-005     2.0543529272163213E-003     1.3419159551595616E-004     3.9982479338723960E-003     6.4618836107922121E-036     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000 
                          9     4.4125921721815695E+000    -8.7833803092968328E+000     3.8167147184187256E+000     6.3571760471027838E-001     6.1324752233668114E+003    -6.5270140910084828E+000    -8.1471455028455075E-001    -8.1471455028455075E-001     3.7372170554438569E+001     9.5298887558765560E-003     3.9880312094983452E+001                           6     2.4572057014404787E+006     3.8783439051479838E-009    -1.7085536718368530E+001     6.5002916753292117E-001    -1.2064539821687259E+001     1.4802984319881718E+000     9.9999999999389644E-001    -2.6507433400697650E-012     4.3223268501024235E+000     4.3222610941062367E+000     2.5857835732741336E+004     9.4501607985428415E-001    -2.4560801720819200E-002     6.5571439577502069E+003     8.2805652491291781E-001     3.7347747020875257E+000     2.9895802587270731E-001     7.6964366357667169E-001     6.9999999999999951E-001     2.8000000000000053E-001     2.0000000000000018E-002     1.2966438850003061E+000     8.4999760145220582E-001     4.3694508535070781E-001     6.7062468700321810E-036     6.7066427739879218E-036     1.6302417969786045E-035     0.0000000000000000E+000     5.4180135538099599E+008                           0    -1.1315808664583418E-001     6.2123809160777466E-001    -9.9000000000000000E+001     9.6432746655328696E-017    -8.2551340457668854E+000     2.2616450164517416E-015    -9.9000000000000000E+001     3.9009372054712201E-003     1.8559974548720540E-001     1.8559974548720540E-001     9.9971259721301760E+000    -1.1214419939295174E+001    -1.0214544774676872E+001     6.9999999999999951E-001     2.8000000000000053E-001     2.0000000000000018E-002     6.9999999999999951E-001     2.9797635251697365E-005     2.7997020236474884E-001     3.4420592100920032E-003     1.0085800420500082E-003     9.3397946488085869E-003     2.2773642444733266E-005     2.0543529272163213E-003     1.3419159551595616E-004     3.9982479338723960E-003     6.7062468700321823E-036     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000 
